GENE	Degree	Betweenness	Closeness	Clustering	Brokering	Bridgeness
CBLC	20.000000000000000	19009.387367525137961	0.324021761874869	0.089473684210526	0.001960017900742	584.952003595376141
CBLL1	3.000000000000000	46.278004686854018	0.301254823125061	0.333333333333333	0.000215262081584	714.315090323427739
CBR1	19.000000000000000	5129.028338743779386	0.331359891579586	0.099415204678363	0.001841686697999	868.382193677499913
CBR3	6.000000000000000	1043.473800173933796	0.291144397092003	0.066666666666667	0.000602733828436	757.422032710721055
CBS	7.000000000000000	634.662307293222511	0.295741023682200	0.095238095238095	0.000681663258350	274.427318737654218
CBX1	52.000000000000000	51193.821745923356502	0.315473158806153	0.044494720965309	0.005347785438575	134.946731933165353
CBX2	25.000000000000000	39102.290788456848531	0.312933647692826	0.080000000000000	0.002475513938220	405.071116226775757
CBX3	39.000000000000000	47776.875295875244774	0.319915983747676	0.083670715249663	0.003846393510415	181.951734595544337
CBX4	45.000000000000000	66160.014001074305270	0.333548734518040	0.066666666666667	0.004520503713271	240.992081804069187
CBX5	93.000000000000000	165188.236661481641931	0.324349799266888	0.021271622253389	0.009796764517322	93.647579182533164
CBX6	48.000000000000000	45066.609729949188477	0.309638072385523	0.024822695035461	0.005038048717931	128.268037485041020
CBX7	18.000000000000000	7403.762873190382379	0.304094524269303	0.261437908496732	0.001430859718766	314.139748720661032
CBX8	57.000000000000000	48456.040189532111981	0.329538199616940	0.043859649122807	0.005865891723173	146.638415675243323
CBY1	3.000000000000000	417.817771164271846	0.282289672773676	0.333333333333333	0.000215262081584	968.889961462329325
CC2D1A	2.000000000000000	122.048619827712031	0.259438177147325	0.000000000000000	0.000215262081584	545.323620506798420
CCBL2	5.000000000000000	1302.104592149282780	0.290225845750164	0.500000000000000	0.000269077601980	1705.002519642425568
CCBP2	11.000000000000000	1419.100691403894871	0.245164524896430	0.000000000000000	0.001183941448714	74.172102342427820
CCDC101	4.000000000000000	303.394005557391665	0.269820526224081	0.166666666666667	0.000358770135974	616.930867288818149
CCDC106	10.000000000000000	1464.562644583414567	0.311047874121192	0.066666666666667	0.001004556380727	1149.866441988332781
CCDC109B	1.000000000000000	0.000000000000000	0.258831067528415	0.000000000000000	0.000107631040792	0.000000000000000
CCDC130	7.000000000000000	1049.331274841616278	0.296410910831074	0.190476190476190	0.000609909231156	722.404226279154273
CCDC134	1.000000000000000	0.000000000000000	0.256367098038134	0.000000000000000	0.000107631040792	0.000000000000000
CCDC22	1.000000000000000	0.000000000000000	0.239879169678819	0.000000000000000	0.000107631040792	0.000000000000000
CCDC25	1.000000000000000	0.000000000000000	0.276526087085925	0.000000000000000	0.000107631040792	0.000000000000000
CCDC28A	1.000000000000000	0.000000000000000	0.252212389380531	0.000000000000000	0.000107631040792	0.000000000000000
CCDC33	20.000000000000000	12303.705293683626223	0.306653904548155	0.078947368421053	0.001982677067224	1009.196596993597495
CCDC47	8.000000000000000	718.659849444771339	0.278123690355026	0.000000000000000	0.000861048326337	414.130540879004286
CCDC53	16.000000000000000	3348.713750856907154	0.292888216379800	0.025000000000000	0.001679044236358	212.827437454998176
CCDC59	14.000000000000000	3267.016710541781777	0.302964098216324	0.000000000000000	0.001506834571090	540.263281922919759
CCDC6	4.000000000000000	333.511711010604301	0.295158523413177	0.000000000000000	0.000430524163169	1711.913162515632166
CCDC82	1.000000000000000	0.000000000000000	0.262962753311446	0.000000000000000	0.000107631040792	0.000000000000000
CCDC85B	99.000000000000000	150556.170811838877853	0.323176458311593	0.011750154607297	0.010530269582809	97.379874523785034
CCDC86	1.000000000000000	0.000000000000000	0.245546804799408	0.000000000000000	0.000107631040792	0.000000000000000
CCDC88A	9.000000000000000	1965.614975699082379	0.301891083961528	0.138888888888889	0.000834140566139	1447.053888028833398
CCDC88C	2.000000000000000	14.795432309641559	0.270283636363636	0.000000000000000	0.000215262081584	153.644873984739263
CCDC90B	23.000000000000000	3798.591625242756436	0.301646050452907	0.000000000000000	0.002475513938220	130.649850787462526
CCDC91	5.000000000000000	1436.961975776713189	0.267837066505232	0.200000000000000	0.000430524163169	639.967604572792766
CCDC92	2.000000000000000	30.290185096507400	0.244699623376965	0.000000000000000	0.000215262081584	189.462138152663925
CCDC93	1.000000000000000	0.000000000000000	0.245255127629808	0.000000000000000	0.000107631040792	0.000000000000000
CCDC99	1.000000000000000	0.000000000000000	0.235931945149822	0.000000000000000	0.000107631040792	0.000000000000000
CCHCR1	6.000000000000000	1842.364142872298544	0.283798643777873	0.000000000000000	0.000645786244753	610.819188746144732
